model,scheme,n,feature,beta,se,odds_ratio,ci_low,ci_high,p_value,log_p_value,p_holm
format_presence,HC0,78959,bold_density_diff,0.008778503175406202,0.011157909347720502,1.0088171472306233,0.9869947119245558,1.0311220761883122,0.43142728388689056,-0.8406563020411225,0.8628545677737811
format_presence,prompt_first,78959,log_token_ratio,0.4647675910918886,0.013526898496001293,1.5916442335998815,1.5500000050775824,1.634407327776075,9.891786764035663e-257,-589.4726641064486,1.2859322793246362e-255
format_presence,prompt_first,78959,header_density_diff,0.07327360927862844,0.010463753006781644,1.0760249070402697,1.054181570197173,1.0983208522175756,2.5331171876673906e-12,-26.701570481601998,3.0397406252008685e-11
format_presence,prompt_first,78959,list_density_diff,0.01178574371254984,0.009551900448810583,1.0118554692431474,0.9930880622320265,1.0309775432564365,0.21725750171400435,-1.5266719851036599,0.6999068486862764
format_presence,prompt_first,78959,bold_density_diff,0.008778503175406202,0.01119625373824513,1.0088171472306233,0.9869201929346467,1.031199932712214,0.43300900526367625,-0.836996753820214,0.8660180105273525
format_presence,prompt_sequence,78959,log_token_ratio,0.4647675910918886,0.013530653566094702,1.5916442335998815,1.549988600264772,1.634419353741702,1.3380557583226494e-256,-589.1705661727511,1.7394724858194442e-255
format_presence,prompt_sequence,78959,header_density_diff,0.07327360927862844,0.01046208974538055,1.0760249070402697,1.0541850084067752,1.0983172700595385,2.512977490856856e-12,-26.709552814487648,3.015572989028227e-11
format_presence,prompt_sequence,78959,list_density_diff,0.01178574371254984,0.009552376645300086,1.0118554692431474,0.9930871367070934,1.030978504093997,0.21728040897402293,-1.5265665523693626,0.7011436075841454
format_presence,prompt_sequence,78959,bold_density_diff,0.008778503175406202,0.01119727509966392,1.0088171472306233,0.9869182188486871,1.031201995372797,0.4330509577217777,-0.8368998726343208,0.8661019154435554
format_presence,model_pair,78959,log_token_ratio,0.4647675910918886,0.014537240272035366,1.5916442335998815,1.5468898344007016,1.6376934607843103,9.486266763232112e-163,-373.0715250091866,1.2332146792201746e-161
format_presence,model_pair,78959,header_density_diff,0.07327360927862844,0.010790673964415652,1.0760249070402697,1.0534841654940177,1.0990479387301204,1.754084575218117e-11,-24.766488911664595,2.1049014902617403e-10
format_presence,model_pair,78959,list_density_diff,0.01178574371254984,0.009913290013967077,1.0118554692431474,0.992365725602072,1.0317279851801564,0.23472084973177892,-1.449358344400686,0.7984946130641226
format_presence,model_pair,78959,bold_density_diff,0.008778503175406202,0.011732519523149175,1.0088171472306233,0.9858608801825657,1.032307962517053,0.45447421347274,-0.7886141030077286,0.90894842694548
